Region,State,GPI State,Zone,Town,WD,Category,Brand Code,Brand Short Name,Sales Date,Local Retailer,Local Dealer,Local Modern,Local Hawker,Outstation Retailer,Outstation Dealer,Outstation Modern,Outstation Hawker,Other Retailer,Other Dealer,Other Modern
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,BHOPAL-0202216,BHOPAL 1-0295400,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.4,0,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,INDORE-0202214,DEWAS-4020063,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,1,3,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,INDORE-0202214,INDORE NEW-0221200,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,10,12,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,INDORE-0202214,INDORE-0222100,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,10,20,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,INDORE-0202214,KHANDWA-0220700,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,1,0,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,INDORE-0202214,MHOW-0221900,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,1,1,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,INDORE-0202214,SANAWAD-4020058,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,3.6,3,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,MANDSAUR-0202229,ALOTE-0297600,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.85,1.75,0,0,0.4,1,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,MANDSAUR-0202229,MANDASUR-0220300,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,7.4,6.4,0,0.4,7.2,9.4,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,MANDSAUR-0202229,NEEMUCH-02100401,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,8.6,7,0,0.2,4,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,MANDSAUR-0202229,SHAMGARH-02103101,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.16,0.8,0,0,0.68,0.2,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,RATLAM-0202215,ALIRAJPUR-4020064,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.04,0,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,RATLAM-0202215,BARWANI-0299800,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.8,0.8,0,0,0,0.4,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,RATLAM-0202215,DHAR-0222000,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,4.8,15.8,0,0,0.8,2.2,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,RATLAM-0202215,JAORA-02100701,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.61,2,0,0,3.19,3,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,RATLAM-0202215,JHABUA-0222600,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.61,0.4,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,RATLAM-0202215,RATLAM-0220600,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,1.16,12.6,0,0,1.93,6.2,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,UJJAIN-0202219,AGAR MALWA-4020062,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,5,10,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,UJJAIN-0202219,BARANAGAR-0221400,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,2,3,0,2,2,3,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,UJJAIN-0202219,NAGDA-02103601,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,9,10,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,UJJAIN-0202219,SHAJAPUR-02100801,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,2,3,0,0,3,4,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,UJJAIN-0202219,SUSNER-0298100,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,1,0,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 1-02022,UJJAIN-0202219,UJJAIN-0221100,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,8,48,0,8,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 2-02031,GUNA-0202218,SHIVPURI-0223100,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.1,0,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH 2-02031,GWALIOR-0202217,GWALIOR-0221000,NORMAL,CIG,CIG0003111,CAVANDERS GOLD LEAF 69-NON FLT,30-Nov-23,0.34,0,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,MADHYA PRADESH MT-02053,GWALIOR MT-0203217,GWALIOR MT-0221008,MODERN TRADE,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,0,0,8.22,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MAHARASHTRA-0212,GOA MT-02055,PANJIM MT-0203308,MARGAO_MT-02113401,MODERN TRADE,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,0,0,1,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MAHARASHTRA-0212,GOA MT-02055,PANJIM MT-0203308,PANJIM (N) MT-0230708,MODERN TRADE,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,0,0,7,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MAHARASHTRA-0212,MAHARASHTRA MT-02051,AURANGABAD MT-0203111,AURANGABAD CIDCO MT-0279208,MODERN TRADE,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,0,0,3,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,CHHATTISGARH-2020000,AMBIKAPUR-3020007,AMBIKAPUR-4020034,NORMAL,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,48,120,0,60,0,34,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,CHHATTISGARH-2020000,AMBIKAPUR-3020007,MANENDRAGARH-4020033,NORMAL,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,6,24,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,CHHATTISGARH-2020000,AMBIKAPUR-3020007,PATTHALGAON-4020066,NORMAL,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,3,24,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,CHHATTISGARH-2020000,BHILAI-3020000,BHILAI-02110701,NORMAL,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,6.41,60,0,12,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,CHHATTISGARH-2020000,BHILAI-3020000,DALLI RAJHARA-4020018,NORMAL,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,1.1,2,0,0,0,0,0,0,0,0,0
MUMBAI BRANCH,MADHYA PRADESH-0202,CHHATTISGARH-2020000,BHILAI-3020000,DHAMTARI-4020040,NORMAL,CIG,CIG0009371,CAVANDERS GOLD RICH TASTE,30-Nov-23,0.1,0,0,0,0,0,0,0,0,0,0
