"id","sku_id","wd_id","town_id","sales_date_time","local_sales_retail","local_sales_dealer","local_sales_modern_trade","local_sales_hawker","outstation_sales_reatil","outstation_sales_dealer","outstation_sales_modern_trade","outstation_sales_hawker","other_sales_retail","other_sales_dealer","other_sales_modern_trade","other_issues_other","other_issues_damage","other_issues_return","transaction_source","created_date","created_by","last_updated_date","last_updated","status","total_outstation_sales","grand_total","total_issue","total_local_sales","total_other_sales","brand_category","freeze_status","transaction_type","cnf_id","company","region","unit_price","value","sku_code","sku_short_name","town_code","wd_name","wd_type","town_name","distrcode","gpi_state","statename","zone"
8224974,"6088244","3454363","1232779","2023-11-30",1.45,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,1.0,15.450,0.0,14.45,0.0,CIG,0,Week4,"1709",GPI,MUMBAI BRANCH,3174.7,49049.115,CIG0001115,FOCUS MINT UP SQ 10s,"297400",MOHANLAL BASANTKUMAR,SFA_Lite,REWA-0297400,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8224975,"6088244","3454364","1232781","2023-11-30",0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,0.0,0.850,0.0,0.85,0.0,CIG,0,Week4,"1709",GPI,MUMBAI BRANCH,3174.7,2698.495,CIG0001115,FOCUS MINT UP SQ 10s,"4020026",MARUTI TRADERS,SFA_Lite,SIDHI-4020026,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8224976,"6088244","3559381","1357932","2023-11-30",0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,0.0,0.550,0.0,0.55,0.0,CIG,0,Week4,"1709",GPI,MUMBAI BRANCH,3174.7,1746.085,CIG0001115,FOCUS MINT UP SQ 10s,"4020022",DEV ENTERPRISES,SFA_Lite,SINGRAULI-4020022,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8224977,"6088244","3252342","936690","2023-11-30",4.6,20.0,0.0,3.0,4.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,12.4,40.000,0.0,27.6,0.0,CIG,0,Week4,"1709",GPI,MUMBAI BRANCH,3174.7,126988.0,CIG0001115,FOCUS MINT UP SQ 10s,"297000",OM SHANTI ENTERPRISES,SFA_Lite,SATNA-0297000,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8224978,"6088244","3454361","1232772","2023-11-30",0.74,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,1.1,1.840,0.0,0.74,0.0,CIG,0,Week4,"1709",GPI,MUMBAI BRANCH,3174.7,5841.448,CIG0001115,FOCUS MINT UP SQ 10s,"4020024",RAJANI AGENCY,SFA_Lite,KOTMA-4020024,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8225164,"73103","3652381","1483947","2023-11-30",2.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,7.0,12.000,0.0,5.0,0.0,CIG,0,Week4,"136",GPI,MUMBAI BRANCH,3174.7,38096.399999999994,CIG0003111,CVGL,"02100801",AGHA ENTERPRISES,SFA_Lite,SHAJAPUR-02100801,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8225165,"73148","3626379","1452918","2023-11-30",2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,0.0,5.000,0.0,5.0,0.0,CIG,0,Week4,"136",GPI,MUMBAI BRANCH,3174.7,15873.5,CIG0002625,FSP,"4020075",ASHWIN TRADERS,Secondary Sales,SHUJALPUR-4020075,,MADHYA PRADESH-0202,MADHYA PRADESH-0202,
8225273,"5637080","3543374","1338881","2023-11-30",0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,0.0,6.000,0.0,6.0,0.0,CIG,0,Week4,"261",GPI,MUMBAI BRANCH,3174.7,19048.199999999997,CIG0005518,STELLAR SHIFT SUPER SLIM 20s PACK,"02108501",MANGALMURTI TRADING COMPANY MT,MT,NASIK 2_MT-02108501,,MAHARASHTRA-0212,MAHARASHTRA-0212,
8225274,"5198427","3543374","1338881","2023-11-30",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,0.0,1.000,0.0,1.0,0.0,CIG,0,Week4,"261",IPM,MUMBAI BRANCH,3174.7,3174.7,CIG0002021,MARLBORO FUSE BEYOND (2.0) KS BOX 20,"02108501",MANGALMURTI TRADING COMPANY MT,MT,NASIK 2_MT-02108501,,MAHARASHTRA-0212,MAHARASHTRA-0212,
8225275,"2248085","3543374","1338881","2023-11-30",0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"2023-12-08 13:10:34.617541",auto scheduler,,,1,0.0,3.000,0.0,3.0,0.0,CIG,0,Week4,"261",IPM,MUMBAI BRANCH,3174.7,9524.099999999999,CIG0002051,MARLBORO GOLD (3.5 ORIGINAL) KS BOX 20,"02108501",MANGALMURTI TRADING COMPANY MT,MT,NASIK 2_MT-02108501,,MAHARASHTRA-0212,MAHARASHTRA-0212,
